iter	Passed	Remaining
402	12596	18660
403	12631	18633
404	12659	18599
405	12690	18566
406	12718	18531
407	12747	18496
408	12774	18459
409	12804	18426
410	12834	18392
411	12864	18359
412	12900	18336
413	12930	18302
414	12966	18277
415	12991	18238
416	13024	18209
417	13054	18176
418	13084	18143
419	13132	18135
420	13161	18100
421	13198	18077
422	13225	18040
423	13255	18007
424	13282	17971
425	13310	17934
426	13344	17907
427	13377	17877
428	13405	17842
429	13433	17807
430	13464	17776
431	13495	17743
432	13522	17707
433	13553	17675
434	13583	17643
435	13611	17607
436	13642	17576
437	13678	17551
438	13710	17521
439	13743	17491
440	13774	17460
441	13803	17426
442	13834	17394
443	13859	17355
444	13887	17320
445	13911	17280
446	13938	17243
447	13978	17223
448	14002	17183
449	14024	17141
450	14044	17096
451	14069	17058
452	14113	17041
453	14151	17019
454	14195	17003
455	14223	16968
456	14252	16934
457	14275	16893
458	14304	16860
459	14327	16819
460	14352	16781
461	14377	16743
462	14406	16708
463	14440	16681
464	14474	16653
465	14506	16622
466	14536	16591
467	14563	16554
468	14590	16518
469	14615	16481
470	14636	16438
471	14659	16398
472	14682	16358
473	14708	16322
474	14733	16284
475	14758	16246
476	14785	16211
477	14813	16177
478	14838	16139
479	14860	16098
480	14883	16059
481	14908	16022
482	14933	15984
483	14958	15947
484	14997	15925
485	15020	15885
486	15041	15844
487	15062	15803
488	15083	15761
489	15127	15744
490	15157	15713
491	15188	15681
492	15236	15669
493	15267	15638
494	15292	15601
495	15321	15568
496	15344	15530
497	15370	15493
498	15397	15459
499	15422	15422
500	15449	15387
501	15472	15348
502	15493	15308
503	15520	15274
504	15549	15241
505	15574	15205
506	15606	15175
507	15628	15136
508	15648	15095
509	15670	15056
510	15696	15020
511	15724	14987
512	15750	14952
513	15775	14916
514	15810	14889
515	15833	14851
516	15854	14812
517	15877	14773
518	15900	14736
519	15926	14701
520	15952	14666
521	15976	14629
522	16017	14608
523	16038	14569
524	16059	14529
525	16081	14492
526	16101	14451
527	16129	14418
528	16150	14380
529	16177	14345
530	16204	14312
531	16237	14283
532	16275	14260
533	16303	14227
534	16334	14197
535	16362	14164
536	16387	14129
537	16414	14096
538	16441	14062
539	16463	14024
540	16484	13986
541	16507	13949
542	16537	13918
543	16561	13882
544	16589	13849
545	16616	13817
546	16643	13783
547	16666	13746
548	16687	13708
549	16713	13674
550	16742	13642
551	16766	13607
552	16792	13573
553	16820	13541
554	16843	13505
555	16864	13467
556	16885	13429
557	16908	13393
558	16934	13359
559	16959	13325
560	16985	13291
561	17028	13271
562	17049	13234
563	17070	13196
564	17093	13160
565	17113	13122
566	17133	13084
567	17161	13052
568	17186	13018
569	17213	12985
570	17240	12952
