iter	RMSE
247	0.3689415674
248	0.3684547517
249	0.3678925865
250	0.3673210875
251	0.3667667604
252	0.3661625735
253	0.3655950283
254	0.3651124282
255	0.3645641179
256	0.3639052291
257	0.3632874915
258	0.3626806922
259	0.3621307845
260	0.3617998894
261	0.3613466079
262	0.3609518931
263	0.3605173714
264	0.3600688067
265	0.3596892113
266	0.3591497221
267	0.3586399203
268	0.3581641173
269	0.3578169608
270	0.3574697683
271	0.3570832628
272	0.3566350074
273	0.3561399893
274	0.3558018962
275	0.3552916387
276	0.3547813861
277	0.354210091
278	0.3537798079
279	0.3533889489
280	0.3529800021
281	0.352585378
282	0.352139747
283	0.3517077017
284	0.3511997827
285	0.3508517997
286	0.3503736345
287	0.3498427283
288	0.3494474184
289	0.3489482924
290	0.3483631271
291	0.3478322323
292	0.3473795538
293	0.3469550399
294	0.3465118191
295	0.3461422041
296	0.3456730104
297	0.3453065035
298	0.3448237839
299	0.3445226524
300	0.344111356
301	0.3436172115
302	0.3432137117
303	0.342801252
304	0.3421355424
305	0.3416077394
306	0.3412307809
307	0.3409010536
308	0.3405279714
309	0.3401631957
310	0.3397970427
311	0.3394615213
312	0.3388586938
313	0.3383586958
314	0.3379867446
315	0.3375396941
316	0.3369835673
317	0.3364280991
318	0.3360032898
319	0.3356839555
320	0.3352750878
321	0.3348475933
322	0.3342923192
323	0.33386632
324	0.3334846517
325	0.333093902
326	0.3326064504
327	0.3321264144
328	0.331687753
329	0.3312549996
330	0.3309687958
331	0.3306230309
332	0.3301447677
333	0.3298085879
334	0.3293235582
335	0.3289635062
336	0.3284744258
337	0.328109421
338	0.3277345864
339	0.3273965231
340	0.3269243117
341	0.326445872
342	0.3259625611
343	0.3256128921
344	0.3252971334
345	0.3248380954
346	0.3243996154
347	0.323938996
348	0.3236306573
349	0.3231311939
350	0.322725348
351	0.3222359947
352	0.3217340974
353	0.3214387264
354	0.3209090548
355	0.3204472488
356	0.320018352
357	0.3197384861
358	0.3193147645
359	0.3189155409
360	0.3186983273
361	0.3182180067
362	0.3177983195
363	0.3175027031
364	0.3170868457
365	0.3168088593
366	0.3164050102
367	0.3159076526
368	0.3155067326
369	0.3151731121
370	0.3148000811
371	0.3143751166
372	0.3140343862
373	0.313654686
374	0.3133047141
375	0.3129117535
376	0.3126042702
377	0.3122444248
378	0.3117940012
379	0.3113716849
380	0.3110266434
381	0.310564811
382	0.3101155443
383	0.3096578389
384	0.3093294731
385	0.3089895695
386	0.3086246506
387	0.3082643945
388	0.3079419139
389	0.3074825051
390	0.3071346296
391	0.3066784357
392	0.3064206304
393	0.3059400947
394	0.3054626974
395	0.3050729182
396	0.3047232476
397	0.304214452
398	0.3037937933
399	0.3034570763
400	0.3030129626
401	0.3026150505
402	0.3021583798
403	0.3018179946
404	0.3014869486
405	0.3011254299
406	0.3007240187
407	0.3004071725
408	0.2999840567
409	0.2995438906
410	0.2993305292
411	0.2990643109
412	0.2988260481
413	0.2984538954
414	0.2980705059
415	0.2976633854
416	0.2972697594
417	0.2969153391
418	0.2966533604
419	0.2964285955
420	0.2960905703
421	0.2957295009
422	0.29540233
423	0.2949740197
424	0.2946776455
425	0.2943207437
426	0.2940369459
427	0.2937644573
428	0.2933262025
429	0.2929479777
430	0.2926091225
431	0.292353986
432	0.2920249401
433	0.29179285
434	0.2914241433
435	0.2912102181
436	0.2908359582
437	0.2904097401
438	0.2900322733
439	0.2896867912
440	0.2894171703
441	0.28904805
442	0.2886949923
443	0.288378041
444	0.2880835039
445	0.287656723
446	0.2872886084
447	0.2868675484
448	0.2865473688
449	0.2862145399
450	0.2859350213
451	0.285434257
452	0.2850967831
453	0.2847327016
454	0.284339527
455	0.2841480663
456	0.2839114529
457	0.2834923145
458	0.283205152
459	0.2829093461
460	0.2825569062
461	0.282250317
462	0.2819820633
463	0.2817615878
464	0.2814380214
465	0.2810848462
466	0.2807198512
467	0.2803492662
468	0.2799882341
469	0.2797101515
470	0.2794541374
471	0.2791253753
472	0.2787940181
473	0.2785366867
474	0.2782869636
475	0.2779544504
476	0.2775739753
477	0.2772686039
478	0.2769671098
479	0.2767542903
480	0.2764564754
481	0.2761394856
482	0.2758568022
483	0.27544446
484	0.2751675783
485	0.2749828291
486	0.2746481177
487	0.2744176064
488	0.2740557426
489	0.2737020022
490	0.273442938
491	0.2732176988
492	0.2728190534
493	0.2724079795
494	0.2720236874
495	0.2716357548
496	0.2714044985
497	0.2711077915
498	0.2707815885
499	0.2704985036
500	0.2701749336
501	0.2699010655
502	0.2694924076
503	0.2691110268
504	0.2688608427
505	0.2685705009
506	0.2683985299
507	0.2681136192
508	0.2677134803
509	0.2674307548
510	0.2671072017
511	0.2668091275
512	0.2665579832
513	0.2661539562
514	0.2658573541
515	0.2655766787
516	0.2651569904
517	0.2648595649
518	0.264655933
519	0.2643139252
520	0.2641311837
521	0.2639168458
522	0.2635483526
523	0.263192012
524	0.2629624157
525	0.2627156143
526	0.2624310293
527	0.2621318829
528	0.2619276631
529	0.2616285329
530	0.2612797143
531	0.2609459461
532	0.2606790015
533	0.2604037027
534	0.2600830014
535	0.2597235017
536	0.2594892895
537	0.2592313034
538	0.2590725236
539	0.2588075952
540	0.2584560433
541	0.2581745256
542	0.2579152093
543	0.2575734856
544	0.2573284049
545	0.2571028044
546	0.2567296393
547	0.2563671593
548	0.2560458374
549	0.2557102828
550	0.2553334093
551	0.2549682177
552	0.254677132
553	0.2543493701
554	0.2540898791
555	0.2539182384
556	0.2536537842
557	0.2533019322
558	0.2530187044
559	0.2526879591
560	0.2524605646
561	0.252259913
562	0.2520275752
563	0.2518392776
564	0.2515509076
565	0.2512039293
566	0.2509255301
567	0.2505935726
568	0.2503530713
569	0.2499940067
570	0.2497338187
571	0.2495118581
572	0.2491954567
573	0.248905501
574	0.2486528011
575	0.2483141509
576	0.248062696
577	0.2477862289
578	0.2474599035
579	0.2471666141
580	0.2469945497
581	0.2467156116
582	0.2464131637
583	0.2461546061
584	0.2459473201
585	0.2456363727
586	0.2453676908
587	0.2450806259
588	0.2448173064
589	0.2445565471
590	0.2442600242
591	0.244020722
592	0.2437892422
593	0.2434913621
594	0.2432369936
595	0.2430301333
596	0.2427616662
597	0.2424785037
598	0.242197202
599	0.2418545505
600	0.2415938698
601	0.24141045
602	0.2411318612
603	0.2408037455
604	0.240553161
605	0.2402542206
606	0.2400456811
607	0.2397340736
608	0.2395375348
609	0.2392937221
610	0.2391017055
611	0.2387801372
612	0.2385005059
613	0.2381735095
614	0.2379569813
615	0.2376067545
616	0.2373545915
617	0.237022328
618	0.236760286
619	0.2365890578
620	0.23633145
621	0.2360427822
622	0.2358236667
623	0.2356052231
624	0.2353461548
625	0.235050574
626	0.2347306881
627	0.2344110364
628	0.2341897534
629	0.2338821554
630	0.2335337581
631	0.2331943153
632	0.2329885663
633	0.2327353526
634	0.2324770461
635	0.232183485
636	0.2319636756
637	0.2316523978
638	0.2313632077
639	0.2310926537
640	0.2308285878
641	0.2305849285
642	0.2303300714
643	0.2301083118
644	0.2297875725
645	0.2295059446
646	0.2292097129
647	0.2290565102
648	0.2288423484
649	0.2286169442
650	0.2283292859
651	0.2280263738
652	0.2277649708
653	0.2275971758
654	0.2273550536
655	0.2271112385
656	0.2269497469
657	0.2267092562
658	0.2265128799
659	0.2263136752
660	0.2260078464
661	0.2258003528
662	0.2256167441
663	0.2253054688
664	0.2250356377
665	0.2247057204
666	0.224484573
667	0.2242114667
668	0.2239702716
669	0.2236945415
670	0.2234607991
671	0.2232151186
672	0.2229384237
673	0.2226665676
674	0.2224538512
675	0.2222232285
676	0.2218951103
677	0.2216745795
678	0.2214797372
679	0.2212079396
680	0.2209593783
681	0.2207548588
682	0.2205626184
683	0.2203486848
684	0.2200973279
685	0.2197922641
686	0.2195980699
687	0.2194019427
688	0.2191500746
689	0.2189237996
690	0.2186807008
691	0.2184954981
692	0.2183175419
693	0.2181112789
694	0.217893493
695	0.217595602
696	0.2173590208
697	0.2171268973
698	0.2169687062
699	0.2168608812
700	0.2167545893
701	0.2165070472
702	0.2163394729
703	0.2160670168
704	0.2158769623
705	0.2156311608
706	0.2153524153
707	0.2150667473
708	0.2148220766
709	0.2146280388
710	0.2143403151
711	0.214011757
712	0.2137455091
713	0.2134582572
714	0.2132221675
715	0.2130599188
716	0.2128029603
717	0.2125875528
718	0.2123569026
719	0.2120486385
720	0.2118199517
721	0.2115566993
722	0.2113188232
723	0.2111361562
724	0.2109020784
725	0.2106044304
726	0.2103895427
727	0.2101014428
728	0.2098613004
729	0.2096347643
730	0.2094218561
731	0.2091799265
732	0.2089864172
733	0.2088637579
734	0.2087020301
735	0.2084517082
736	0.2082764249
737	0.2080423208
738	0.2077910469
739	0.2075464015
740	0.2072990373
741	0.2071515168
742	0.2069813143
743	0.2067206141
744	0.2065284265
745	0.2064005348
746	0.2062088631
747	0.2059997311
748	0.2058205395
749	0.2056054234
750	0.2053793802
751	0.2051560902
752	0.2048921286
753	0.2046926225
754	0.2045069843
755	0.2042647134
756	0.204111222
757	0.2038597113
758	0.2036357992
759	0.2034631127
760	0.2033041605
761	0.2030758031
762	0.2028387709
763	0.2026843328
764	0.2024431003
765	0.2021653669
766	0.2019207008
767	0.201719475
768	0.2015066942
769	0.2012698991
770	0.2010667696
771	0.2008327271
772	0.200653964
773	0.200425758
774	0.200204482
775	0.1999888645
776	0.1997572781
777	0.1995921632
778	0.1994160091
779	0.1993073047
780	0.1992190614
781	0.1990265161
782	0.1987909206
783	0.1986259561
784	0.1984185844
785	0.1981590215
786	0.1978999884
787	0.1976836109
788	0.1974855225
789	0.197293391
790	0.1970742246
791	0.1968555613
792	0.1966716435
793	0.1963995671
794	0.1961522291
795	0.1959573874
796	0.1957212267
797	0.1955533371
798	0.1953479338
799	0.1951473421
800	0.1949393447
801	0.1946700804
802	0.1945345331
803	0.1942428191
804	0.1939774383
805	0.1937242357
806	0.1936174169
807	0.1933911325
808	0.1932209911
809	0.1930060162
810	0.1928178907
811	0.1925361763
812	0.1923974622
813	0.1922408944
814	0.1919754457
815	0.1917063568
816	0.1914477443
817	0.1913127857
818	0.1910470025
819	0.1908530028
820	0.1906311796
821	0.1904202868
822	0.1901738397
823	0.1899280386
824	0.1896741263
825	0.1894942479
826	0.1892769867
827	0.1891126668
828	0.1889130435
829	0.1886540884
830	0.1884770545
831	0.1883043152
832	0.1881661963
833	0.1880145931
834	0.1878011942
835	0.1875618163
836	0.1873660878
837	0.1871983025
838	0.1870046956
839	0.1868279711
840	0.186629822
841	0.186429595
842	0.1862390682
843	0.1860366906
844	0.1858429638
845	0.1855968649
846	0.1854074898
847	0.1851697217
848	0.1849456038
849	0.1847661503
850	0.1845716356
851	0.1843565298
852	0.1841198653
853	0.1839343435
854	0.1837121447
855	0.1834704965
856	0.1833275373
857	0.1831845104
858	0.1830466522
859	0.1828858955
860	0.1827017835
861	0.1825285656
862	0.182318106
863	0.1821409016
864	0.1819668012
865	0.1817624138
866	0.1815642109
867	0.1814155165
868	0.1811891477
869	0.1810311287
870	0.1808837526
871	0.1807240541
872	0.1805238584
873	0.1802967199
874	0.180013861
875	0.1797987346
876	0.1796451291
877	0.1794662034
878	0.1793373563
879	0.1791396378
880	0.1790023048
881	0.178797213
882	0.178576069
883	0.1783453088
884	0.1781407155
885	0.1779703685
886	0.1777493722
887	0.1776430528
888	0.1774631318
889	0.1773618219
890	0.1771840434
891	0.1770335529
892	0.1768165815
893	0.1766167636
894	0.1763549207
895	0.1761804546
896	0.175940943
897	0.17569562
898	0.1755440251
899	0.1753174666
900	0.1751623965
901	0.1750440256
902	0.1748327053
903	0.1746209522
904	0.1744449761
905	0.1743285307
906	0.1741431102
907	0.1739930598
908	0.1738221489
909	0.1737149286
910	0.1735364538
911	0.1733374354
912	0.1731902271
913	0.1730347749
914	0.1728976982
915	0.1727194607
916	0.1725107225
917	0.1723520242
918	0.1721823705
919	0.1719797947
920	0.171808627
921	0.1715849111
922	0.171435719
923	0.1712438838
924	0.17109926
925	0.1709387268
926	0.170768237
927	0.1705393175
928	0.1703963199
929	0.1702653592
930	0.170098365
931	0.1698836486
932	0.1696768995
933	0.1694256491
934	0.1692648981
935	0.1690230863
936	0.168843569
937	0.1687045251
938	0.1685374211
939	0.1683798452
940	0.1682131223
941	0.1680218821
942	0.1678535311
943	0.1677126827
944	0.1675369428
945	0.1673702982
946	0.1671849823
947	0.1670040164
948	0.1667912199
949	0.1666388689
950	0.1664290212
951	0.1662448997
952	0.1660763326
953	0.1659235803
954	0.1657426014
955	0.1656071675
956	0.165457281
957	0.1652744859
958	0.1650911832
959	0.1648830685
960	0.1647016583
961	0.1645445718
962	0.1643776211
963	0.1643109612
964	0.1641324652
965	0.1639190505
966	0.1637395746
967	0.1636469528
968	0.16348814
969	0.1633465353
970	0.1631597976
971	0.1629366389
972	0.1628128622
973	0.1627155875
974	0.1625373682
975	0.1623487581
976	0.1622293422
977	0.1621042137
978	0.1619594596
979	0.1617937875
980	0.1616445973
981	0.161466097
982	0.1613234152
983	0.1611575213
984	0.1610255351
985	0.1608772485
986	0.1607467806
987	0.1606073199
988	0.1604273233
989	0.1602171655
990	0.1600569122
991	0.1599314928
992	0.1597608263
993	0.1596071414
994	0.1594463235
995	0.1592823429
996	0.1590898146
997	0.1589051362
998	0.1587390646
999	0.1585780924
